ProductsName,Product Cost,Feedbacks,Link,Product_Img_Link,Details
"HEAD & SHOULDERS 2-in-1 Active Protect, Anti Dandruff Shampoo and Conditioner  (650 ml)",1438.4,This product is good but not good enough to clear dandruff. :- Head & Shoulders product is a good product.we all are in family satisfied product .Price was too good.I have liked this product. I have regular used this product .Thanks for the Flipkart. :- superb best shampoo 100% satisfaction thanku Flipkart ♥️,,,"For the first time in India, the Head and Shoulders, 2-in-1 range is specially formulated to give you superior dandruff fighting power you expect, while combining the benefits of both�shampoo and conditioner in one bottle. It makes your hair upto 100% dandruff free and surprisingly smooth.Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	Fresh Scent
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Fresh Scent"
TRICHUP Hair Fall Control Natural Shampoo Helps to Reduce Hair Fall & Thinning Hair (200ml)  (200 ml),256.0,Till now I used it twice and I m really happy with the results.. I can see decrease in my hairfall..rest can be assured after few more uses. :- Nice👍 product👌 :- Nice product....,,,"All types of shampoos are giving you best result for all types of hair problem all shampoo are best for you. Nourish your scalp with the moisturizing goodness of real natural effect softens and cleanses your hair leaving it healthier with every wash. Giving Long Strongest & Best Hair .giving You All Problems Free Hair Afte Use This ShampooApplied For	Anti-hair Fall, Split-ends, Scalp Cleansing
Hair Type	All Hair Types
Composition	Aqua / Water / Eau, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Lauryl Sulfate, Olea Europaea (Olive) Fruit Oil, Parfum (Fragrance), Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Chloride, Magnesium Nitrate, Disodium Edta, Sodium Hydroxide, Citric Acid, D&C Green 5 (Ci 61570), Fd & C Yellow 5 (Ci 19140), Fd & C Yellow 6 (Ci 15985), D&C Red 33 (Ci 17200)
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	indiaAnti-hair Fall, Split-ends, Scalp Cleansing Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Aqua / Water / Eau, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Lauryl Sulfate, Olea Europaea (Olive) Fruit Oil, Parfum (Fragrance), Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Chloride, Magnesium Nitrate, Disodium Edta, Sodium Hydroxide, Citric Acid, D&C Green 5 (Ci 61570), Fd & C Yellow 5 (Ci 19140), Fd & C Yellow 6 (Ci 15985), D&C Red 33 (Ci 17200)"
BBlunt Intense Moisture Shampoo with Jojoba & Vitamin E for Dry & Frizzy Hair  (300 ml),534.4,Good fragrance.... good shampoo :- Nice :- I have faced hairfall problem,,,"Say goodbye to dry, rebellious, unmanageable hair with new and improved BBLUNT Intense Moisture Shampoo. It makes hair soft, increases elasticity, and adds shine to hair, making this one a keeper. Enriched with moisture-restoring ingredients like Jojoba and Vitamin E, this power-packed formula moisturizes hair without making it too heavy and looks smooth, manageable, and well-nourished. The product has been created especially for Indian weather, and hair types with a unique color protect formula to help lock in that fabulous color while also moisturizing your hair.Applied For	Nourishment & Moisturization
Hair Type	All Hair Types
Ideal For	Men & WomenNourishment & Moisturization Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
"PANTENE Advanced Hairfall Solution, 2in1 Anti-Hairfall Silky Smooth Shampoo & Conditioner Shampoo  (650 ml)",1451.2,Nice product and very fast delivery. :- Very nice :- Nice,,,"Suffering from hairfall? Do you have dry, weak hair prone to breakage? Hairfall control 2in1 formula is enriched with Pro-Vitamin and rich conditioning formula. The formula has been constantly advanced with help from Pantene�s global network of hair science experts. Get the benefit of shampoo & conditioner in one wash and enjoy frizz free, silky smooth hair, and gives nourishment your hair deserves, with the advanced hairfall solutions formula in Pantene 2in1 Range.Applied For	Straightening & Smoothening
Hair Type	All Hair Types
Composition	NA
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: NA"
JOVEES Heena & Ginseng Anti Hair Loss Shampoo  (300 ml),372.8,Good :- Very nice product :- Very good 😍 after one use my hair became so soft n silky..,,,"Pour the strength of botanicals extracts deep into your hair with this shampoo that nourishes your hair, improves its texture, and prevents hair loss. Containing naturally-derived ingredients that have proven therapeutic properties, it also helps in improving the texture of the hair.Henna extracts, restores the scalp's pH, and turns dry, damaged and unhealthy hair soft, shiny, and manageable.  Ginseng strengthens the follicles and roots of the hair, encourages the new growth of strands, and prevents hair thinning and breakage.  Makes the skin shiny and soft.Applied For	Anti-hair Fall
Hair Type	All Hair Types
Ideal For	Men & WomenAnti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
Chik Panchratan Herbal Solution Total Hair Care Shampoo  (650 ml),355.20000000000005,Nice :- Ok :- Good,,,"Chik Panchratan Shampoo provides total care by making your hair soft, smooth, shiny, voluminous and prevents hairfall.Applied For	Softening & Silkening
Hair Type	All Hair Types
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1Softening & Silkening Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
"Nyle Anti Dandruff 2 In 1 Shampoo + Conditioner, With Tea Tree & Mint  (400 ml)",347.20000000000005,"Very nice feeling fresh after use, mint goves cooling sensation and cleanses hair very finely :- It's nice one value for money and package is very good :- Nice",,,"Nyle 2 in 1 Shampoo+Conditioner is packed with the goodness of Tea Tree and Mint, is a superior formula that combines the benefits of Shampoo and Conditioner. It is an anti hairfall & anti dandruff formula that helps in improvement in scalp health over regular use. The product benefits are helpful in reduction of scalp itchiness & dryness giving you stronger and nourished hair.Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	Tea Tree & Mint
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Tea Tree & Mint"
DOVE Hairfall Rescue Shampoo & Conditioner  (825 ml),1052.8,It's lovely and worthy.....blindly can go for it 🥰 :- Good product :- Valo for money 💸,,,"We love the feeling of beautiful hair but daily hair damage can leave your hair prone to breakage. Let hair fall be an issue of the past! Use the Hair Fall Rescue Shampoo & Conditioner from Dove regularly to get thick and luscious looking hair as they work to reduce hair fall by up to 98%. Enriched with Nutrilock Actives, our shampoo for hair fall immediately helps seal cuticles and strengthens strands to help minimize hair fall due to breakages, leaving them looking fuller.   After applying shampoo wash your hair and rinse out excess water. Then follow the below 3 steps:  1. SQUEEZE half to one spoon of Dove conditioner for shoulder length hair  2. SLIDE it from ears to tips where hair tangles and breaks more easily.  3. WAIT for a minute and WASH thoroughly with water.Applied For	Anti-hair Fall
Hair Type	All Hair Types
Ideal For	Men & WomenAnti-hair Fall Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
"TRICHUP 2 NATURAL SHAMPOO (400 ML) (ENRICHED WITH NEEM,HENNA & ALOEVERA)  (500 ml)",718.4000000000001,Nyc product..But late delivery 🚚 :- Nice product :- Good,,,"Natural cleaning process makes it gentle enough for everyday use::India's first shampoo made From ""Real Beer""::5 in 1 conditioning gives you 5 times more conditioned hair with proteins and natural bio-actives of barley and hops::Hops & yeast in beer helps to alleviate dandruff and reduces itchiness of scalp. All types of shampoos are giving you best result for all types of hair problem all shampoo are best for you. Nourish your scalp with the moisturizing goodness of real natural effect softens and cleanses your hair leaving it healthier with every wash. Giving Long Strongest & Best Hair .giving You All Problems Free Hair Afte Use This ShampooApplied For	Daily Care
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	2Daily Care Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
look hair Onion Oil and Onion Shampoo  (500 ml),638.4000000000001,Best products thank u flipcart :- Very Good product...Thank You Flipkart Excellent :- Good product,,,"Look hair oil is a great source of 14 Herbs perfectly blended. It's for ALL TYPE OF HAIR - Ideal to Boost Hair Growth, Anti Hair FallApplied For	Damage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Straightening & Smoothening, Restore & Renew
Hair Type	All Hair Types
Composition	onion
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	2
Country of Origin	indiaDamage Repair, Deep Conditioning, Daily Care, Dryness Care, Anti-hair Fall, Split-ends, Nourishment & Moisturization, Scalp Cleansing, Anti-dandruff, Frizz Control, Color Protection, Hair Volumizing, Straightening & Smoothening, Restore & Renew Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: onion"
PARK AVENUE Damage Free Beer Shampoo  (650 ml),662.4000000000001,Nice shampoo and fragrance is good nice packaging and very first delivery thank you Flipkart... :- Nice shampoo :- Super,,,"This richly lathering Damage Free shampoo is packed with real beer which has excellent conditioning properties. It protects against hair damage from the roots leaving it strong and healthy. Leave you hair shiny, non-sticky and bouncy with Park Avenue beer shampoo.Applied For	Damage Repair, Daily Care, Anti-hair Fall, Split-ends, Anti-dandruff, Hair Volumizing, Straightening & Smoothening
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	1
Country of Origin	IndiaDamage Repair, Daily Care, Anti-hair Fall, Split-ends, Anti-dandruff, Hair Volumizing, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
Revlon Flex Shampoo for Dry & Damaged Hair  (592 ml),387.2000000000001,Nice shampoo & soft hair :- Very good product :- Good,,,"Provide your hair with a moisturizing shampoo that fights dryness and controls damageApplied For	Damage Repair
Hair Type	Dry Hair
Composition	Water, Sodium Laureth Sulphate, Sodium Lauryl Sulphate, Tetrasodium EDTA, Citric Acid, Hydrolyzed Silk, 2-Methyl 5-Chloro 4 Isothizolin 3-One,D-Panthanol, Butylene Glycol,Cocamido Propyl Betaine,Lauramide DEA,Propyl Paraben, Methyl Paraben ,Tocopherol Acetate, Sodium Chloride, Fragrance,
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	IndiaDamage Repair Shampoo Ideal For: Men & Women Suitable For: Dry Hair Composition: Water, Sodium Laureth Sulphate, Sodium Lauryl Sulphate, Tetrasodium EDTA, Citric Acid, Hydrolyzed Silk, 2-Methyl 5-Chloro 4 Isothizolin 3-One,D-Panthanol, Butylene Glycol,Cocamido Propyl Betaine,Lauramide DEA,Propyl Paraben, Methyl Paraben ,Tocopherol Acetate, Sodium Chloride, Fragrance,"
KESUDA Aloevera Amla Shampoo with Pure Extract for Silky and shiny hair  (500 ml),387.2000000000001,Very good product. :- Very helpful products all products are goodI am happy :- Nice super h,,,"""KESUDA Conditioning shampoos are formulated to provide the dual benefit of a shampoo as well as conditioner. It is a sophisticated hair care product, which has a shampoo and conditioner in one. In general, using a conditioning shampoo before adding a separate conditioner help provide optimal relief for ultra dry scalp and hair. KESUDA Conditioning shampoos condition from within while cleaning and nourishing your hair. Modern day, conditioning shampoos are formulated by experts with a perfect balance of chemicals and natural ingredients like Aloevera, Amla and shikakai. Unlike other shampoos, Conditioning shampoos have proved to be extremely good for dry hair as they add to the natural oil supply and gives dry hair, shine as well as strength.""Applied For	Anti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening
Hair Type	All Hair Types
Ideal For	Men & Women
pack_of	1
Country of Origin	indiaAnti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
Vilvah Store Goat Milk Shampoo - 200 ML  (200 ml),798.4000000000001,Gud packing... :- Very nice product :- Good,,,"Get the perfect hair flip moments with our new improved Goat milk shampoo.This natural formula offers rich creamy lather with ultra-moisturising goat milk.Clinically proven pea protein helps reducing frizz and fly-away hair, retains long-lasting moisturisation to the entire hair shaft. Jasmine purifies and adds exquisite shine for healthy, lustrous locks.Suitable for all hair types(Straight, Wavy or Curly) Great for dry, damaged and frizzy hair.Applied For	Nourishment & Moisturization, Frizz Control, Deep Conditioning, Dryness Care, Hair Volumizing, Scalp Cleansing, Straightening & Smoothening, Softening & Silkening, Hair Shine
Hair Type	All Hair Types
Composition	Aqua, Jasminum Grandiflorum(Jasmine) flower water, Goatmilk, Disodium Cocoyl Glutamate (Ecocert Cosmos approved mild surfactant), Cocamidopropyl Hydroxysultaine (Ecocert approved mild surfactant), Sodium Lauroyl Sarcosinate (Ecocert approved mild surfactant), Xanthan Gum (Food grade), Hydrolyzed Pea Protein, Citrus Medica Limonum (Lemon) Peel Oil, Jasminum Officinale (Jasmine) Oil, Myroxylon Balsamum (Peru Balsam) Oil, Sodium Hydroxide, Sodium Gluconate (natural chelating agent), Ethylene Glycol Mono Stearate (Ecocert compliant), Potassium Sorbate and Sodium Benzoate (Ecocert approved preservative)
Ideal For	Men & Women
pack_of	1
Country of Origin	IndiaNourishment & Moisturization, Frizz Control, Deep Conditioning, Dryness Care, Hair Volumizing, Scalp Cleansing, Straightening & Smoothening, Softening & Silkening, Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Aqua, Jasminum Grandiflorum(Jasmine) flower water, Goatmilk, Disodium Cocoyl Glutamate (Ecocert Cosmos approved mild surfactant), Cocamidopropyl Hydroxysultaine (Ecocert approved mild surfactant), Sodium Lauroyl Sarcosinate (Ecocert approved mild surfactant), Xanthan Gum (Food grade), Hydrolyzed Pea Protein, Citrus Medica Limonum (Lemon) Peel Oil, Jasminum Officinale (Jasmine) Oil, Myroxylon Balsamum (Peru Balsam) Oil, Sodium Hydroxide, Sodium Gluconate (natural chelating agent), Ethylene Glycol Mono Stearate (Ecocert compliant), Potassium Sorbate and Sodium Benzoate (Ecocert approved preservative)"
"MEGHDOOT Satreetha Shampoo for Hair Fall, Dandruff & Scalp Acne 1L both (Pack of 2)  (2 L)",1064.0,"Good deal :- Awesome product, initially i purchased 500ml, worked for me now i purchased 2lit bottle :- Very good product",,,"This unique product serves the purpose which comes in various ranges & varieties and hence fulfills the need of all.Applied For	Daily Care, Anti-hair Fall, Scalp Cleansing, Anti-dandruff
Hair Type	All Hair Types
Composition	Reetha, Amla, Shikakai, Meethi, Neem
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	2
Country of Origin	IndiaDaily Care, Anti-hair Fall, Scalp Cleansing, Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Reetha, Amla, Shikakai, Meethi, Neem"
L'Oréal Paris Extraordinary Oil Smooth Shampoo (Paraben & Silicone Free) 440ml | Professional Nourishing Shampoo for Smooth & Straight Frizz-Free hair | With Precious Essential Oils  (440 ml),1441.6,Nice 👍 :- Very nice products i love it :- Very bad Shampoo,,,"It�s time to transform your salon hair treatment at home with the L'Oreal Paris Extraordinary Oil Smooth Shampoo. This smoothening shampoo is enriched with 100% French Amber Cedarwood Oil that deeply nourish your hair. With just one wash the L'Oreal Extraordinary Oil Shampoo will make your hair 97% smoother. Being a paraben and silicone-free shampoo, this hair cleanser is gentle on the hair and doesn�t strip it off its natural oils. The lightweight formula of this nourishing shampoo adds volume to your hair without weighing it down. The Extraordinary Oil shampoo is a perfect daily use shampoo for men and women as it adds brilliant shine, and makes your hair straighter & smoother. Say bye to Frizz.Applied For	Nourishment & Moisturization
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	ChinaNourishment & Moisturization Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
"BIOLAGE COLORLAST Shampoo to Protect & Maintain Colored Hair, Vegan & No Added Parabens  (200 ml)",360.0,Nice 👍 :- Go for it :- Nice,,,"Trusted by Professionals. BIOLAGE COLORLAST Shampoo with low pH purifies as it helps prolong color vibrancy. It is powered by anti fading properties of vibrant Orchid flower.  How to use - Apply to wet hair with a gentle massaging motion. Lather well. Rinse the hair, for best results follow up with a COLORLAST conditioner.Applied For	Color Protection
Hair Type	All Hair Types
Composition	Orchid Flower
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Color Protection Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Orchid Flower"
TRESemme Climate Protection Shampoo  (185 ml),304.0,The shampoo was so good 🙂🙂🙂 thank you flipkart :- it's good :- Good shampoo for frizzy hairs.  My hair looking good after hair wash with this product..  satisfy 🤗,,," 	Now, do not let the weather spoil your hair and get frizz-free, soft, and moisturised hair with the TRESemme Climate Control Shampoo. Gently Cleanses and Moisturises 	This haircare product locks in the moisture in hair, controls frizz and gently cleanses your hair. Contains Climate Control Complex 	This complex along with keratin and olive oil creates a barrier between your long locks and the harshness of weather to give you soft and healthy hair. Protects Hair 	It hydrates hair cuticles and protects it from humidity and static. Get Shiny Hair 	Get shiny and vibrant hair every season with this TRESemme shampoo.Applied For	Frizz Control, Nourishment & Moisturization, Scalp Cleansing
Hair Type	Frizzy Hair
Composition	Keratin, Olive Oil, Sodium Laureth Sulphate, Silicone
Container Type	Plastic Bottle
Ideal For	Women
pack_of	1Frizz Control, Nourishment & Moisturization, Scalp Cleansing Shampoo Ideal For: Women Suitable For: Frizzy Hair Composition: Keratin, Olive Oil, Sodium Laureth Sulphate, Silicone"
KESUDA Advanced Premium Shampoo with Pure Aloevera & Amla extract  (1 L),542.4,Good product ..  nice smell good quality and price .. thnk u Flipkart :- Nice product. :- Best quality products,,,"""KESUDA Conditioning shampoos are formulated to provide the dual benefit of a shampoo as well as conditioner. It is a sophisticated hair care product, which has a shampoo and conditioner in one. In general, using a conditioning shampoo before adding a separate conditioner help provide optimal relief for ultra dry scalp and hair. KESUDA Conditioning shampoos condition from within while cleaning and nourishing your hair. Modern day, conditioning shampoos are formulated by experts with a perfect balance of chemicals and natural ingredients like Aloevera, Amla and shikakai. Unlike other shampoos, Conditioning shampoos have proved to be extremely good for dry hair as they add to the natural oil supply and gives dry hair, shine as well as strength.""Applied For	Anti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Amla & Aloevera Extract, cdea, cabp,DM water, Preservative , Perfume & Colour, sodium lauryl ether sulphte,
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	indiaAnti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Amla & Aloevera Extract, cdea, cabp,DM water, Preservative , Perfume & Colour, sodium lauryl ether sulphte,"
WELLA PROFESSIONAL WELLA PROFESSIONALS INVIGO SENSO CALM  (250 ml),1036.8,Nice :- Nice product :- Just wow,,,"FRAGRANCE FREE SHAMPOO THAT SOOTHES AND CALM SENSITIVE SCALP WITH ALLANTOINApplied For	Scalp Cleansing, Daily Care, Color Protection, Nourishment & Moisturization
Hair Type	All Hair Types
Composition	SODIUM LAURETH SULFATE
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Scalp Cleansing, Daily Care, Color Protection, Nourishment & Moisturization Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: SODIUM LAURETH SULFATE"
HEAD & SHOULDERS 2-in-1 Active Protect Shampoo  (180 ml),313.6,This product is good but not good enough to clear dandruff. :- Head & Shoulders product is a good product.we all are in family satisfied product .Price was too good.I have liked this product. I have regular used this product .Thanks for the Flipkart. :- superb best shampoo 100% satisfaction thanku Flipkart ♥️,,,"Not all shampoos remove dandruff! Head & Shoulders Active Protect has an anti-dandruff formula that leaves a protective shield on your scalp to keep you upto 100% dandruff free. The H&S 2-in-1 range is formulated to have all the dandruff fighting power you expect from Head & Shoulders, while combining the benefits of bothshampoo and conditioner in one bottle.Applied For	Anti-dandruff
Hair Type	All Hair Types
Composition	Ingredients on Tag
Container Type	Dispenser
Ideal For	Men & Women
pack_of	1Anti-dandruff Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Ingredients on Tag"
KESUDA Amla Premium shampoo for better hair care  (600 ml),454.4,"Excellent and effective product for me ,very good composition, effect on hair is best, good alovera fragrance,stop my hairfall :- This product is 100% genuine  i can feel it , it give proper during 2 month , very  very good adorable product :- Superb daily care shampoo, super fast delivery I have big problem for dandruff and dryness ,this product resolve with in three month , first time I used this product and it give perfect result",,,"KESUDA Conditioning shampoos are formulated to provide the dual benefit of a shampoo as well as conditioner. It is a sophisticated hair care product, which has a shampoo and conditioner in one. In general, using a conditioning shampoo before adding a separate conditioner help provide optimal relief for ultra dry scalp and hair.    KESUDA Conditioning shampoos condition from within while cleaning and nourishing your hair. Modern day, conditioning shampoos are formulated by experts with a perfect balance of chemicals and natural ingredients like Aloevera, Amla and shikakai. Unlike other shampoos, Conditioning shampoos have proved to be extremely good for dry hair as they add to the natural oil supply and gives dry hair, shine as well as strength.Applied For	Anti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	3
Country of Origin	indiaAnti-dandruff, Anti-hair Fall, Color Protection, Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Frizz Control, Hair Shine, Hair Volumizing, Nourishment & Moisturization, Restore & Renew, Scalp Cleansing, Softening & Silkening, Split-ends, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
HairHorn Onion Shampoo|Hair Growth|Hair Fall Control|Damage Repair shampoo  (200 ml),336.0,Liked it :- Good :- Good product,,,"Get strong and lustrous hair with HAIRHORN Onion Black Seed Oil Shampoo. This shampoo helps to revive your tired scalp and hair. Red onion extract, and black seed oil aid in rejuvenating tired scalps and weak hair. Use this shampoo to help improve hair texture and strengthen the strands.  Improves hair texture and inhibits dandruff. The hair booster in the shampoo help to strengthen, repair, and nourish the scalp and hair roots.Applied For	Anti-hair Fall, Hair Volumizing, Split-ends, Frizz Control
Hair Type	All Hair Types
Composition	onion powder, WATER
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Anti-hair Fall, Hair Volumizing, Split-ends, Frizz Control Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: onion powder, WATER"
Khadi Mauri Amla Bhringraj Shampoo - Pack of 2  (420 ml),478.4,"Good, super :- Best shampoo for hairfall!! :- Nice shampoo..I love it😍",,,"Khadi Mauri Herbal Amla & Bhringraj ayurvedic hair wash for all hair types is a potent combination of mild ayurvedic herbs that take good care of your hair without any hair damaging side effects; it nourishes and strengthens roots, conditions and makes hair soft & elastic and brings back shine, volume and good health to your hair.Applied For	Daily Care, Damage Repair, Deep Conditioning, Dryness Care, Split-ends, Nourishment & Moisturization, Anti-hair Fall, Scalp Cleansing, Anti-dandruff, Hair Volumizing, Straightening & Smoothening, Hair Shine
Hair Type	All Hair Types
Composition	AMLA, BHRINGRAJ
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	2
Country of Origin	IndiaDaily Care, Damage Repair, Deep Conditioning, Dryness Care, Split-ends, Nourishment & Moisturization, Anti-hair Fall, Scalp Cleansing, Anti-dandruff, Hair Volumizing, Straightening & Smoothening, Hair Shine Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: AMLA, BHRINGRAJ"
St.Botanica Pro Keratin & Argan Oil Smooth Therapy Shampoo 600ml  (600 ml),1214.4,Awosam Product Very useful for Damage hear :- Nice product :- Good for hair.,,,"Keratin Protein-enriched hair smoothening shampoo that helps make hair smooth, shiny & straight. Relieves dryness while repairing damage caused by colour treatments. Infused with Argan Oil & other premium natural oils that deeply hydrate dry & damaged hair. Assists in strengthening hair while reducing frizziness for tangle-free, straight hair. Powerful botanical extracts strengthen the hair and nourish the scalp.Applied For	Frizz Control
Hair Type	All Hair Types
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Frizz Control Shampoo Ideal For: Men & Women Suitable For: All Hair Types"
Revlon FLEX DRY DAMAGED SHAMPOO 592 ML FOR MOISTURIZING DRY & DAMAGED HAIR  (592 ml),672.0,"Good Shampoo. Not harmful. :- Good :- It's  right products, very good",,,"EACH COMBO PACK CONTAINS - 2 REVLON FLEX DRY DAMAGED SHAMPOO 592 ML FOR MOISTURIZING DRY & DAMAGED HAIRApplied For	Damage Repair, Hair Shine, Daily Care
Hair Type	All Hair Types
Composition	ORGANIC
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	2Damage Repair, Hair Shine, Daily Care Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: ORGANIC"
"khadi natural herbal Amla & Aritha Shampoo, 200ml  (200 ml)",448.0,It's good :- It's a nice product . :- Gd,,,"Khadi Natural Herbal Amla & Aritha Shampoo infused with all natural organic ingredients. Amla and Aritha are one of the most commonly used natural ingredients, it has been used as a hair cleanser since time immemorial. This improves follicle health and indirectly boosts healthy and faster hair growth.Applied For	Damage Repair, Deep Conditioning, Nourishment & Moisturization, Hair Shine, Straightening & Smoothening
Hair Type	All Hair Types
Composition	Shampoo
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1Damage Repair, Deep Conditioning, Nourishment & Moisturization, Hair Shine, Straightening & Smoothening Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Shampoo"
CURL UP Curl Moisturising Shampoo  (200 ml),873.6,Very happy with this product. I have  really frizzy hair and after one wash only It feels really soft. :- Nice :- Nice,,,"Our shampoo is a mild coconut-based cleanser which gently cleans the scalp and hair without stripping away the natural oils transforming dry and frizzy hair into soft, bouncy, happy curls. Natural ingredients like Argan oil and Chia seed extracts with high content of antioxidants and vitamin E, brings your luxurious waves and curls back to life.Applied For	Frizz Control
Hair Type	Frizzy Hair
Composition	Coconut based cleanser, Argan Oil , Chia seed extract
Container Type	Plastic Bottle
Ideal For	Men & WomenFrizz Control Shampoo Ideal For: Men & Women Suitable For: Frizzy Hair Composition: Coconut based cleanser, Argan Oil , Chia seed extract"
Luster Cosmetics Rice Water Hair Shampoo | Enriched With Argan & Coconut Oil | For All Types of Scalp | Helps Hair Strength & Growth | Shampoo for Women and Men | No Paraben & Sulfate  (300 ml),200.0,Nyc product go for it..... :- Nice fragrance :- Very very good shampoo.,,,"It Enriched with Argan, Coconut Oil & Rice Water Extracts that impart Perfect Strength to your Hair Roots. Improves Hair Growth and Strengthens Your Hair, Control Hair Fall, Dandruff, itching and scalp infection and Useful against dandruff. Hair Shampoo for women & men that helps to protect against hair damages. Hair Shampoo for hair fall and regrowth that helps to Control hair Fall and Dandruff. It is free from parabens, chemicals and is a cruelty free product. Our Luster Cosmetics Rice Water Shampoo for hair growth that Keep Hair shine and over silky. It Helps strength & deep Hair Nourishment and also giving Smooth & shine Hair.Applied For	Scalp Cleansing
Hair Type	All Hair Types
Composition	Herbal
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	IndiaScalp Cleansing Shampoo Ideal For: Men & Women Suitable For: All Hair Types Composition: Herbal"
